ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-14 02:45:00,22.52553286550938,-153.69405335657746,103.32406358927254,22.52553286550938,22.52553286550938,-44.59242745820425,-44.59242745820425,-44.59242745820425,-37.1626996099397,-37.1626996099397,-37.1626996099397,-8.012679214996298,-8.012679214996298,-8.012679214996298,0.5829513667317651,0.5829513667317651,0.5829513667317651,0.0,0.0,0.0,-22.06689459269487
2023-01-14 03:00:00,22.525783014751376,-160.4675566142561,98.28314229065649,22.525783014751376,22.525783014751376,-46.12503079072158,-46.12503079072158,-46.12503079072158,-38.56068376225682,-38.56068376225682,-38.56068376225682,-8.162159741371353,-8.162159741371353,-8.162159741371353,0.5978127129065921,0.5978127129065921,0.5978127129065921,0.0,0.0,0.0,-23.599247775970206
2023-01-14 03:15:00,22.526033163993365,-144.07694576042852,99.91060901212343,22.526033163993365,22.526033163993365,-46.30971783272418,-46.30971783272418,-46.30971783272418,-38.61022018239029,-38.61022018239029,-38.61022018239029,-8.312163731742379,-8.312163731742379,-8.312163731742379,0.6126660814084864,0.6126660814084864,0.6126660814084864,0.0,0.0,0.0,-23.783684668730817
2023-01-14 03:30:00,22.526283313235357,-155.79721569404086,105.4528443098354,22.526283313235357,22.526283313235357,-45.10622931658564,-45.10622931658564,-45.10622931658564,-37.27107194635807,-37.27107194635807,-37.27107194635807,-8.46266881831595,-8.46266881831595,-8.46266881831595,0.6275114480883918,0.6275114480883918,0.6275114480883918,0.0,0.0,0.0,-22.579946003350283
2023-01-14 03:45:00,22.526533462477353,-151.09496439904288,108.69973669949465,22.526533462477353,22.526533462477353,-42.58888380741772,-42.58888380741772,-42.58888380741772,-34.617581062504364,-34.617581062504364,-34.617581062504364,-8.613651533738569,-8.613651533738569,-8.613651533738569,0.6423487888252156,0.6423487888252156,0.6423487888252156,0.0,0.0,0.0,-20.06235034494037
2023-01-14 04:00:00,22.526783611719345,-146.6024652088512,109.24530339770573,22.526783611719345,22.526783611719345,-38.94378639180961,-38.94378639180961,-38.94378639180961,-30.835877162707874,-30.835877162707874,-30.835877162707874,-8.765087308600924,-8.765087308600924,-8.765087308600924,0.6571780794991816,0.6571780794991816,0.6571780794991816,0.0,0.0,0.0,-16.417002780090264
2023-01-14 04:15:00,22.527033760961334,-134.89805524027398,124.27091471838753,22.527033760961334,22.527033760961334,-34.457269154604525,-34.457269154604525,-34.457269154604525,-26.21231798040939,-26.21231798040939,-26.21231798040939,-8.916950470202666,-8.916950470202666,-8.916950470202666,0.6719992960075409,0.6719992960075409,0.6719992960075409,0.0,0.0,0.0,-11.93023539364319
2023-01-14 04:30:00,22.527283910203334,-133.44914891871016,126.54358888752925,22.527283910203334,22.527283910203334,-29.496225349632553,-29.496225349632553,-29.496225349632553,-21.11382352108264,-21.11382352108264,-21.11382352108264,-9.069214242835848,-9.069214242835848,-9.069214242835848,0.6868124142859366,0.6868124142859366,0.6868124142859366,0.0,0.0,0.0,-6.968941439429219
2023-01-14 04:45:00,22.527534059445323,-126.78911906093232,122.7484922479125,22.527534059445323,22.527534059445323,-24.48160366899911,-24.48160366899911,-24.48160366899911,-15.961370331302767,-15.961370331302767,-15.961370331302767,-9.221850747957848,-9.221850747957848,-9.221850747957848,0.7016174102615094,0.7016174102615094,0.7016174102615094,0.0,0.0,0.0,-1.9540696095537875
2023-01-14 05:00:00,22.527784208687315,-119.67544534653564,131.21231340275887,22.527784208687315,22.527784208687315,-19.856851449275226,-19.856851449275226,-19.856851449275226,-11.198434702994316,-11.198434702994316,-11.198434702994316,-9.374831006173327,-9.374831006173327,-9.374831006173327,0.7164142598924235,0.7164142598924235,0.7164142598924235,0.0,0.0,0.0,2.6709327594120893
2023-01-14 05:15:00,22.528034357929304,-120.4454016532612,136.2079566955292,22.528034357929304,22.528034357929304,-16.05349865822939,-16.05349865822939,-16.05349865822939,-7.256576657467053,-7.256576657467053,-7.256576657467053,-9.528124939915582,-9.528124939915582,-9.528124939915582,0.7312029391532491,0.7312029391532491,0.7312029391532491,0.0,0.0,0.0,6.4745356996999135
2023-01-14 05:30:00,22.528284507171303,-130.79339683688661,147.4193453094811,22.528284507171303,22.528284507171303,-13.456327874231418,-13.456327874231418,-13.456327874231418,-4.520609921137914,-4.520609921137914,-4.520609921137914,-9.681701377132107,-9.681701377132107,-9.681701377132107,0.7459834240386062,0.7459834240386062,0.7459834240386062,0.0,0.0,0.0,9.071956632939886
